,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,SaleType,SaleCondition,SalePrice,log_SalePrice,AgeHome,YrsSnRmdl,TotBthrm,TotFloors,NeighbQual,HasFireplace,HasAlley,HasFence,HasPool,HasGarage,NearNeg,NearPos
10,RL,70,11200,Reg,Lvl,Inside,Gtl,1Fam,5,5,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,0,0,1040,3,1,TA,Typ,NoFireplace,Detchd,Unf,1,TA,TA,Y,0,0,0,0,0,2,WD,Normal,129500,11.771436160121729,43,43,2.0,1,Po,1,0,0,0,1,0,0
11,RL,85,11924,IR1,Lvl,Inside,Gtl,1Fam,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1142,0,2324,4,1,Ex,Typ,Gd,BuiltIn,Fin,3,TA,TA,Y,147,21,0,0,0,7,New,Partial,345000,12.751299696013497,1,0,4.0,1,Ex,1,0,0,0,1,0,0
12,RL,68,12968,IR2,Lvl,Inside,Gtl,1Fam,5,6,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,0,0,912,2,1,TA,Typ,NoFireplace,Detchd,Unf,1,TA,TA,Y,140,0,0,0,176,9,WD,Normal,144000,11.877568578558138,46,46,2.0,1,Po,1,0,0,0,1,0,0
13,RL,91,10652,IR1,Lvl,Inside,Gtl,1Fam,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,0,0,1494,3,1,Gd,Typ,Gd,Attchd,RFn,3,TA,TA,Y,160,33,0,0,0,8,New,Partial,279500,12.540757571577291,1,0,2.0,1,TA,1,0,0,0,1,0,0
14,RL,80,10920,IR1,Lvl,Corner,Gtl,1Fam,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,0,0,1253,2,1,TA,Typ,Fa,Attchd,RFn,1,TA,TA,Y,0,213,176,0,0,5,WD,Normal,157000,11.964001084330445,48,48,2.5,1,Fa,1,0,1,0,1,0,0
15,RM,51,6120,Reg,Lvl,Corner,Gtl,1Fam,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,other,0,0,854,2,1,TA,Typ,NoFireplace,Detchd,Unf,2,TA,TA,Y,48,112,0,0,0,7,WD,Normal,132000,11.790557201568507,78,6,1.0,1,Fa,1,0,1,0,1,0,0
16,RL,50,11241,IR1,Lvl,CulDSac,Gtl,1Fam,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,0,0,1004,2,1,TA,Typ,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,3,WD,Normal,149000,11.911701584927597,40,40,2.0,1,Fa,1,0,0,0,1,0,0
17,RL,72,10791,Reg,Lvl,Inside,Gtl,Duplex,4,5,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,NoBasement,NoBasement,NoBasement,NoBasement,0,NoBasement,0,0,0,GasA,TA,Y,SBrkr,0,0,1296,2,2,TA,Typ,NoFireplace,CarPort,Unf,2,TA,TA,Y,0,0,0,0,0,10,WD,Normal,90000,11.407564949312402,39,39,2.0,1,Po,1,0,0,0,1,0,0
18,RL,66,13695,Reg,Lvl,Inside,Gtl,1Fam,5,5,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,0,0,1114,3,1,Gd,Typ,NoFireplace,Detchd,Unf,2,TA,TA,Y,0,102,0,0,0,6,WD,Normal,159000,11.976659481202368,4,4,2.5,1,Fa,1,0,0,0,1,1,0
19,RL,70,7560,Reg,Lvl,Inside,Gtl,1Fam,5,6,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,0,0,1339,3,1,TA,Min1,NoFireplace,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,5,COD,Abnorml,139000,11.842229212112828,51,44,1.0,1,Fa,1,0,1,0,1,0,0
20,RL,101,14215,IR1,Lvl,Corner,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1218,0,2376,4,1,Gd,Typ,Gd,BuiltIn,RFn,3,TA,TA,Y,240,154,0,0,0,11,New,Partial,325300,12.692503112461443,1,0,3.5,1,Ex,1,0,0,0,1,0,0
21,RM,57,7449,Reg,Bnk,Inside,Gtl,1Fam,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,other,0,0,1108,3,1,Gd,Typ,Gd,Attchd,Unf,1,TA,TA,other,0,0,205,0,0,6,WD,Normal,139400,11.845102777308561,77,57,1.0,1,Po,1,1,1,0,1,0,0
22,RL,75,9742,Reg,Lvl,Inside,Gtl,1Fam,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,0,0,1795,3,1,Gd,Typ,Gd,Attchd,RFn,2,TA,TA,Y,171,159,0,0,0,9,WD,Normal,230000,12.345834587905333,6,6,2.0,1,TA,1,0,0,0,1,0,0
23,RM,44,4224,Reg,Lvl,Inside,Gtl,TwnhsE,5,7,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,0,0,1060,3,1,TA,Typ,TA,Attchd,Unf,2,TA,TA,Y,100,110,0,0,0,6,WD,Normal,129900,11.77452020265869,31,31,2.0,1,Po,1,0,0,0,1,0,0
24,RL,68,8246,IR1,Lvl,Inside,Gtl,1Fam,5,8,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,0,0,1060,3,1,Gd,Typ,TA,Attchd,Unf,1,TA,TA,Y,406,90,0,0,0,5,WD,Normal,154000,11.944707881395766,42,9,2.0,1,Po,1,0,1,0,1,0,0
25,RL,110,14230,Reg,Lvl,Corner,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,0,0,1600,3,1,Gd,Typ,Gd,Attchd,RFn,3,TA,TA,Y,0,56,0,0,0,7,WD,Normal,256300,12.454103912352162,2,2,2.0,1,Ex,1,0,0,0,1,0,0
26,RL,60,7200,Reg,Lvl,Corner,Gtl,1Fam,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,0,0,900,3,1,Gd,Typ,NoFireplace,Detchd,Unf,2,TA,TA,Y,222,32,0,0,0,5,WD,Normal,134800,11.811547477460344,59,10,1.5,1,Fa,1,0,0,0,1,0,0
27,RL,98,11478,Reg,Lvl,Inside,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,0,0,1704,3,1,Gd,Typ,Gd,Attchd,RFn,3,TA,TA,Y,0,50,0,0,0,5,WD,Normal,306000,12.631340380934517,3,2,3.0,1,Ex,1,0,0,0,1,0,0
28,RL,47,16321,IR1,Lvl,CulDSac,Gtl,1Fam,5,6,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,0,0,1600,2,1,TA,Typ,Gd,Attchd,RFn,1,TA,TA,Y,288,258,0,0,0,12,WD,Normal,207500,12.24288661865289,49,9,2.0,1,Fa,1,0,0,0,1,0,0
29,RM,60,6324,IR1,Lvl,Inside,Gtl,1Fam,4,6,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,0,0,520,1,1,Fa,Typ,NoFireplace,Detchd,Unf,1,Fa,TA,Y,49,0,87,0,0,5,WD,Normal,68500,11.134589024250317,81,58,1.0,1,Fa,1,0,0,0,1,1,0
30,C (all),50,8500,Reg,Lvl,Inside,Gtl,1Fam,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,668,0,1317,3,1,TA,Typ,NoFireplace,Detchd,Unf,1,TA,Fa,other,0,54,172,0,0,7,WD,Normal,40000,10.596634733096073,88,58,1.0,1,Po,1,1,1,0,1,1,0
31,RL,50,8544,IR1,Lvl,CulDSac,Gtl,1Fam,5,6,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,0,0,1228,3,1,Gd,Typ,NoFireplace,Attchd,Unf,1,TA,TA,Y,0,65,0,0,0,6,WD,Normal,149350,11.914047823644255,42,2,1.5,1,Po,1,0,1,0,1,0,0
32,RL,85,11049,Reg,Lvl,Corner,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,0,0,1234,3,1,Gd,Typ,NoFireplace,Attchd,RFn,2,TA,TA,Y,0,30,0,0,0,1,WD,Normal,179900,12.100156419938624,1,1,2.0,1,TA,1,0,0,0,1,0,0
33,RL,70,10552,IR1,Lvl,Inside,Gtl,1Fam,5,5,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,0,0,1700,4,1,Gd,Typ,Gd,Attchd,RFn,2,TA,TA,Y,0,38,0,0,0,4,WD,Normal,165500,12.016726473799254,51,51,2.0,1,Fa,1,0,0,0,1,0,0
34,RL,60,7313,Reg,Lvl,Inside,Gtl,TwnhsE,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,0,0,1561,2,1,Ex,Typ,Gd,Attchd,Fin,2,TA,TA,Y,203,47,0,0,0,8,WD,Normal,277500,12.533576212168626,2,2,3.0,1,Ex,1,0,0,0,1,0,0
35,RL,108,13418,Reg,Lvl,Inside,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1320,0,2452,4,1,Gd,Typ,Gd,BuiltIn,Fin,3,TA,TA,Y,113,32,0,0,0,9,WD,Normal,309000,12.641096555879882,2,1,3.5,1,Ex,1,0,0,0,1,0,0
36,RL,112,10859,Reg,Lvl,Corner,Gtl,1Fam,5,5,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,0,0,1097,3,1,TA,Typ,NoFireplace,Attchd,Unf,2,TA,TA,Y,392,64,0,0,0,6,WD,Normal,145000,11.884489021402711,15,14,1.5,1,TA,1,0,0,0,1,0,0
37,RL,74,8532,Reg,Lvl,Inside,Gtl,1Fam,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,0,0,1297,3,1,TA,Typ,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,10,WD,Normal,153000,11.938193200374572,55,19,1.5,1,Fa,1,0,0,0,1,0,0
38,RL,68,7922,Reg,Lvl,Inside,Gtl,1Fam,5,7,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,0,0,1057,3,1,Gd,Typ,NoFireplace,Detchd,Unf,1,TA,TA,Y,0,52,0,0,0,1,WD,Abnorml,109000,11.59910316121128,57,3,2.0,1,Fa,1,0,0,0,1,0,0
39,RL,65,6040,Reg,Lvl,Inside,Gtl,Duplex,4,5,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,NoBasement,NoBasement,NoBasement,NoBasement,0,NoBasement,0,0,0,GasA,TA,N,other,0,0,1152,2,2,Fa,Typ,NoFireplace,NoGarage,NoGarage,0,NoGarage,NoGarage,other,0,0,0,0,0,6,WD,AdjLand,82000,11.314474526246391,53,53,2.0,1,Po,1,0,0,0,0,0,0
40,RL,84,8658,Reg,Lvl,Inside,Gtl,1Fam,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,0,0,1324,3,1,TA,Typ,TA,Attchd,RFn,2,TA,TA,Y,0,138,0,0,0,12,WD,Abnorml,160000,11.982929094215963,41,41,2.0,1,Fa,1,0,1,0,1,0,0
41,RL,115,16905,Reg,Lvl,Inside,Gtl,1Fam,5,6,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,0,0,1328,2,1,TA,Typ,Gd,Attchd,RFn,1,TA,TA,other,0,104,0,0,0,7,WD,Normal,170000,12.043553716032399,48,48,2.0,1,Gd,1,0,0,0,1,0,0
42,RL,50,9180,IR1,Lvl,CulDSac,Gtl,1Fam,5,7,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,0,0,884,2,1,Gd,Typ,NoFireplace,Attchd,RFn,2,TA,Gd,Y,240,0,0,0,0,12,WD,Normal,144000,11.877568578558138,24,24,2.0,1,Fa,1,0,1,0,1,0,0
43,RL,50,9200,IR1,Lvl,CulDSac,Gtl,1Fam,5,6,Hip,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,0,0,938,3,1,TA,Typ,NoFireplace,Detchd,Unf,1,TA,TA,Y,145,0,0,0,0,7,WD,Normal,130250,11.777210959615614,33,28,2.0,1,TA,1,0,1,0,1,0,0
44,RL,70,7945,Reg,Lvl,Inside,Gtl,1Fam,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,other,0,0,1150,3,1,TA,Typ,NoFireplace,Attchd,RFn,1,TA,TA,Y,0,0,0,0,0,5,WD,Normal,141000,11.856515169360305,47,47,2.0,1,Fa,1,0,0,0,1,0,0
45,RL,61,7658,Reg,Lvl,Inside,Gtl,TwnhsE,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,0,0,1752,2,1,Ex,Typ,Gd,Attchd,RFn,2,TA,TA,Y,196,82,0,0,0,2,WD,Normal,319900,12.675763725937609,5,5,3.0,1,Ex,1,0,0,0,1,0,0
46,RL,48,12822,IR1,Lvl,CulDSac,Gtl,1Fam,7,5,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,631,0,2149,1,1,Gd,Typ,Ex,Attchd,RFn,2,TA,TA,Y,168,43,0,0,198,8,WD,Abnorml,239686,12.387085012375499,6,6,2.5,1,Po,1,0,0,0,1,0,0
47,FV,84,11096,Reg,Lvl,Inside,Gtl,1Fam,8,5,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,0,0,1656,3,1,Gd,Typ,NoFireplace,Attchd,RFn,3,TA,TA,Y,0,146,0,0,0,7,WD,Normal,249700,12.428015476267865,1,1,2.0,1,Gd,1,0,0,0,1,0,0
48,RM,33,4456,Reg,Lvl,Inside,Gtl,2fmCon,4,5,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,GasA,Gd,Y,SBrkr,716,0,1452,2,3,TA,Typ,NoFireplace,NoGarage,NoGarage,0,NoGarage,NoGarage,other,0,0,102,0,0,6,New,Partial,113000,11.635143097694478,89,1,2.0,1,TA,1,0,0,0,0,0,0
49,RL,66,7742,Reg,Lvl,Inside,Gtl,1Fam,5,7,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,Y,SBrkr,0,0,955,3,1,TA,Typ,NoFireplace,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,1,WD,Normal,127000,11.751942365440728,41,41,2.0,1,Po,1,0,1,0,1,0,0
50,RL,80,13869,IR2,Lvl,Corner,Gtl,1Fam,6,6,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,Y,SBrkr,676,0,1470,3,1,TA,Typ,NoFireplace,Attchd,Fin,2,TA,TA,Y,0,75,0,0,0,7,WD,Normal,177000,12.083905011555967,10,10,2.5,1,TA,1,0,0,0,1,0,0
51,RM,52,6240,Reg,Lvl,Inside,Gtl,1Fam,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,Y,SBrkr,0,360,1176,3,1,TA,Typ,Gd,Detchd,Unf,2,TA,TA,Y,112,0,0,0,0,9,WD,Normal,114500,11.648330101976432,72,56,1.0,1,Fa,1,0,1,0,1,0,0
52,RM,110,8472,IR2,Bnk,Corner,Mod,Duplex,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,GasA,TA,N,SBrkr,0,0,816,2,1,TA,Typ,NoFireplace,CarPort,Unf,2,TA,TA,Y,106,0,0,0,0,5,WD,Normal,110000,11.608235644774552,47,47,2.0,1,Po,1,0,0,0,1,1,0
53,RL,68,50271,IR1,Low,Inside,Gtl,1Fam,9,5,Gable,WdShngl,WdShing,Wd Shng,None,0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,Y,SBrkr,0,0,1842,0,1,Gd,Typ,Gd,Attchd,Fin,3,TA,TA,Y,857,72,0,0,0,11,WD,Normal,385000,12.86099861326992,25,19,2.5,1,Ex,1,0,0,0,1,0,0
54,RL,60,7134,Reg,Bnk,Inside,Mod,1Fam,5,5,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,GasA,TA,Y,SBrkr,0,0,1360,3,1,TA,Min1,TA,Detchd,Unf,2,TA,TA,Y,0,50,0,0,0,2,WD,Normal,130000,11.77528972943772,52,52,1.0,1,Fa,1,0,1,0,1,0,0
55,RL,100,10175,IR1,Lvl,Inside,Gtl,1Fam,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,GasA,Gd,Y,SBrkr,0,0,1425,3,1,TA,Typ,Gd,Attchd,RFn,2,TA,TA,Y,0,0,0,407,0,7,WD,Normal,180500,12.103486056755072,44,44,2.0,1,Fa,1,0,0,0,1,0,0
56,FV,24,2645,Reg,Lvl,Inside,Gtl,Twnhs,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,GasA,Ex,Y,SBrkr,756,0,1739,3,1,Gd,Typ,NoFireplace,Attchd,Fin,2,TA,TA,Y,115,0,0,0,0,8,WD,Abnorml,172500,12.058152515453552,10,9,3.5,1,Gd,1,1,0,0,1,0,0
57,RL,89,11645,IR1,Lvl,Corner,Gtl,1Fam,7,5,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,GasA,Ex,Y,SBrkr,860,0,1720,3,1,Gd,Typ,NoFireplace,Attchd,RFn,2,TA,TA,Y,0,70,0,0,0,8,WD,Normal,196500,12.188417710291453,2,2,2.5,1,TA,1,0,0,0,1,0,0
58,RL,66,13682,IR2,HLS,CulDSac,Gtl,1Fam,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,GasA,Ex,Y,SBrkr,1519,0,2945,3,1,Gd,Typ,Gd,BuiltIn,Fin,3,TA,TA,Y,192,0,37,0,0,10,New,Partial,438780,12.991753427493052,0,0,3.5,1,Ex,1,0,0,0,1,0,0
